Mod:Item:MetaData, Localized Name
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:fluid_cell:0, Célula Universal de Fluidos
ic2:cable:0, Cabo de Cobre
ic2:cable:0, Cabo de Cobre Isolado
ic2:cable:1, Cabo de Fibra de Vidro
ic2:cable:2, Cabo de Ouro
ic2:cable:2, Cabo de Ouro Isolado
ic2:cable:2, Cabo de Ouro Duplamente Isolado
ic2:cable:3, Cabo de Alta Tensão
ic2:cable:3, Cabo de Alta Tensão Isolado
ic2:cable:3, Cabo de Alta Tensão Duplamente Isolado
ic2:cable:3, Cabo de Alta Tensão Triplamente Isolado
ic2:cable:4, Cabo de Estanho
ic2:cable:4, Cabo de Estanho Isolado
ic2:cable:5, Cabo Detector de EU
ic2:cable:6, Cabo Divisor de EU
ic2:upgrade:0, Melhoria: Overclock
ic2:upgrade:1, Melhoria: Transformador Interno
ic2:upgrade:2, Melhoria: Armazenamento de Energia
ic2:upgrade:3, Melhoria: Inversor de Sinal de Redstone
ic2:upgrade:4, Melhoria: Ejetor
ic2:upgrade:5, Melhoria: Ejetor Avançado
ic2:upgrade:6, Melhoria: Sucção
ic2:upgrade:7, Melhoria: Sucção Avançada
ic2:upgrade:8, Melhoria: Ejetor de Fluidos
ic2:upgrade:9, Melhoria: Injeção de Fluidos Avançada
ic2:filled_tin_can, ic2.filled_tin_can.name
ic2:filled_fuel_can, ic2.filled_fuel_can.name
ic2:iodine_tablet, ic2.iodine_tablet.name
ic2:crystal_memory, ic2.crystal_memory.name
ic2:rotor_wood, ic2.rotor_wood.name
ic2:rotor_bronze, ic2.rotor_bronze.name
ic2:rotor_iron, ic2.rotor_iron.name
ic2:rotor_steel, ic2.rotor_steel.name
ic2:rotor_carbon, ic2.rotor_carbon.name
ic2:dynamite, ic2.dynamite.name
ic2:dynamite_sticky, ic2.dynamite_sticky.name
ic2:remote, ic2.remote.name
ic2:pipe:0, Tiny Bronze Pipe
ic2:pipe:0, Small Bronze Pipe
ic2:pipe:0, Medium Bronze Pipe
ic2:pipe:0, Large Bronze Pipe
ic2:pipe:1, Tiny Steel Pipe
ic2:pipe:1, Small Steel Pipe
ic2:pipe:1, Medium Steel Pipe
ic2:pipe:1, Large Steel Pipe
ic2:cover:0, Pump Attachment (LV)
ic2:cover:1, Pump Attachment (MV)
ic2:coke, ic2.coke.name
forestry:fertilizer_bio, Adubo
forestry:fertilizer_compound, Fertilizante
forestry:apatite, Apatita
forestry:research_note, %s's Notes
forestry:portable_alyzer, Portable Analyzer
forestry:ingot_copper, Lingote de Cobre
forestry:ingot_tin, Lingote de Estanho
forestry:ingot_bronze, Lingote de Bronze
forestry:wrench, Chave Inglesa
forestry:pipette, Pipeta
forestry:sturdy_machine, Carcaça Resistente
forestry:hardened_machine, Revestimento Endurecido
forestry:impregnated_casing, Invólucro Impregnado
forestry:flexible_casing, Flexible Casing
forestry:crafting_material:0, Poeira Pulsante
forestry:crafting_material:1, Malha Pulsante
forestry:crafting_material:2, Fio de Seda
forestry:crafting_material:3, Tecido de Seda
forestry:crafting_material:4, Carga de Dissipação
forestry:crafting_material:5, Caco de Gelo
forestry:crafting_material:6, Painéis Perfumados
forestry:crafting_material:7, Camouflaged Paneling
forestry:naturalist_helmet, Óculos
forestry:peat, Turfa
forestry:ash, Cinzas
forestry:bituminous_peat, Turfa Betuminosa
forestry:gear_bronze, Engrenagem de Bronze
forestry:gear_copper, Engrenagem de Cobre
forestry:gear_tin, Engrenagem de Estanho
forestry:chipsets:0, Placa de Circuito Básica
forestry:chipsets:1, Placa de Circuito Aprimorada
forestry:chipsets:2, Placa de Circuito Refinada
forestry:chipsets:3, Placa de Circuito Intrincada
forestry:soldering_iron, Soldering Iron
forestry:carton, Cartão
forestry:oak_stick, Vara Impregnada
forestry:wood_pulp, Polpa de Árvore
forestry:broken_bronze_pickaxe, Picareta Quebrada
forestry:broken_bronze_shovel, Pá Quebrada
forestry:bronze_pickaxe, Picareta do Sobrevivente
forestry:bronze_shovel, Pá do Sobrevivente
forestry:kit_shovel, Kit de Pás
forestry:kit_pickaxe, Kit de Picaretas
forestry:mouldy_wheat, Trigo Mofado
forestry:decaying_wheat, Trigo em Decomposição
forestry:mulch, Bagaço
forestry:iodine_capsule, Cápsula de Iodo
forestry:phosphor, Fósforo
forestry:beeswax, Cera de Abelha
forestry:refractory_wax, Cera em Pó
forestry:fruits:0, Cereja
forestry:fruits:1, Noz
forestry:fruits:2, Castanha
forestry:fruits:3, Limão
forestry:fruits:4, Ameixa
forestry:fruits:5, Tâmara
forestry:fruits:6, Mamão
forestry:analyzer:0, Analisador
forestry:escritoire:0, Escrivaninha
forestry:bog_earth:0, Terra do Pântano
forestry:humus:0, Húmus
forestry:resources:0, Minério de Apatita
forestry:resources:1, Minério de Cobre
forestry:resources:2, Minério de Estanho
forestry:resource_storage:0, Bloco de Apatita
forestry:resource_storage:1, Bloco de Cobre
forestry:resource_storage:2, Bloco de Estanho
forestry:resource_storage:3, Bloco de Bronze
forestry:ash_brick:0, Ash Bricks
forestry:ash_stairs:0, Ash Brick Stairs
forestry:apiarist_bag, Mochila do Apicultor
forestry:lepidopterist_bag, Mochila do Heteropterologista
forestry:miner_bag, Bolsa do Minerador
forestry:miner_bag_t2, Woven Mining Backpack
forestry:digger_bag, Bolsa do Escavador
forestry:digger_bag_t2, Woven Digging Backpack
forestry:forester_bag, Bolsa do 'Forestreyro'
forestry:forester_bag_t2, Woven Foresting Backpack
forestry:hunter_bag, Bolsa do Caçador
forestry:hunter_bag_t2, Woven Hunting Backpack
forestry:adventurer_bag, Bolsa do Aventureiro
forestry:adventurer_bag_t2, Woven Adventuring Backpack
forestry:builder_bag, Bolsa do Construtor
forestry:builder_bag_t2, Woven Building Backpack
forestry:stamps:0, Selo (1n)
forestry:stamps:1, Selo (2n)
forestry:stamps:2, Selo (5n)
forestry:stamps:3, Selo (10n)
forestry:stamps:4, Selo (20n)
forestry:stamps:5, Selo (50n)
forestry:stamps:6, Selo (100n)
forestry:letters, Carta
forestry:catalogue, Catálogo
forestry:mailbox:0, Caixa de Correio
forestry:trade_station:0, Posto de Troca
forestry:stamp_collector:0, Filatelia
forestry:database:0, Database
forestry:engine_peat:0, Motor de Turfa
forestry:engine_biogas:0, Motor de Biogás
forestry:engine_clockwork:0, Motor de Engrenagem
forestry:charcoal:0, Block of Charcoal
forestry:wood_pile:0, Wood Pile
forestry:wood_pile_decorative:0, Decorative Wood Pile
forestry:ash_block_0:0, Ash Block
forestry:ash_block_1:0, Ash Block
forestry:ash_block_2:0, Ash Block
forestry:ash_block_3:0, Ash Block
forestry:loam:0, Loam
forestry:bottler:0, Engarrafador
forestry:carpenter:0, Carpinteiro
forestry:centrifuge:0, Centrífuga
forestry:fermenter:0, Fermentador
forestry:moistener:0, Humidificador
forestry:squeezer:0, Hidratador
forestry:still:0, Refinador
forestry:rainmaker:0, Fazedor de Chuva
forestry:fabricator:0, Fabricador Termiônico
forestry:raintank:0, Tanque de Chuva
forestry:crate, Caixa
forestry:mushroom:0, tile.for.mushroom.name
forestry:mushroom:1, tile.for.mushroom.name
forestry:ffarm:0, Bloco da Fazenda
forestry:ffarm:0, Bloco da Fazenda
forestry:ffarm:0, Bloco da Fazenda
forestry:ffarm:0, Bloco da Fazenda
forestry:ffarm:0, Bloco da Fazenda
forestry:ffarm:0, Bloco da Fazenda
forestry:ffarm:0, Bloco da Fazenda
forestry:ffarm:0, Bloco da Fazenda
forestry:ffarm:0, Bloco da Fazenda
forestry:ffarm:0, Bloco da Fazenda
forestry:ffarm:0, Bloco da Fazenda
forestry:ffarm:2, Caixa de Engrenagens da Fazenda
forestry:ffarm:2, Caixa de Engrenagens da Fazenda
forestry:ffarm:2, Caixa de Engrenagens da Fazenda
forestry:ffarm:2, Caixa de Engrenagens da Fazenda
forestry:ffarm:2, Caixa de Engrenagens da Fazenda
forestry:ffarm:2, Caixa de Engrenagens da Fazenda
forestry:ffarm:2, Caixa de Engrenagens da Fazenda
forestry:ffarm:2, Caixa de Engrenagens da Fazenda
forestry:ffarm:2, Caixa de Engrenagens da Fazenda
forestry:ffarm:2, Caixa de Engrenagens da Fazenda
forestry:ffarm:2, Caixa de Engrenagens da Fazenda
forestry:ffarm:3, Hachura da Fazenda
forestry:ffarm:3, Hachura da Fazenda
forestry:ffarm:3, Hachura da Fazenda
forestry:ffarm:3, Hachura da Fazenda
forestry:ffarm:3, Hachura da Fazenda
forestry:ffarm:3, Hachura da Fazenda
forestry:ffarm:3, Hachura da Fazenda
forestry:ffarm:3, Hachura da Fazenda
forestry:ffarm:3, Hachura da Fazenda
forestry:ffarm:3, Hachura da Fazenda
forestry:ffarm:3, Hachura da Fazenda
forestry:ffarm:4, Válvula da Fazenda
forestry:ffarm:4, Válvula da Fazenda
forestry:ffarm:4, Válvula da Fazenda
forestry:ffarm:4, Válvula da Fazenda
forestry:ffarm:4, Válvula da Fazenda
forestry:ffarm:4, Válvula da Fazenda
forestry:ffarm:4, Válvula da Fazenda
forestry:ffarm:4, Válvula da Fazenda
forestry:ffarm:4, Válvula da Fazenda
forestry:ffarm:4, Válvula da Fazenda
forestry:ffarm:4, Válvula da Fazenda
forestry:ffarm:5, Controle da Fazenda
forestry:ffarm:5, Controle da Fazenda
forestry:ffarm:5, Controle da Fazenda
forestry:ffarm:5, Controle da Fazenda
forestry:ffarm:5, Controle da Fazenda
forestry:ffarm:5, Controle da Fazenda
forestry:ffarm:5, Controle da Fazenda
forestry:ffarm:5, Controle da Fazenda
forestry:ffarm:5, Controle da Fazenda
forestry:ffarm:5, Controle da Fazenda
forestry:ffarm:5, Controle da Fazenda
forestry:honeyed_slice, Fatia de Doce
forestry:ambrosia, Ambrosia
forestry:honey_pot, Pote de Mel
forestry:fluid.bio.ethanol, Etanol
forestry:fluid.biomass, Biomassa
forestry:fluid.glass, Vidro Líquido
forestry:fluid.for.honey, Mel
forestry:fluid.ice, Gelo Picado
forestry:fluid.juice, Suco de Fruta
forestry:fluid.milk, Leite
forestry:fluid.seed.oil, Óleo Vegetal
forestry:fluid.short.mead, Hidromel
forestry:can, item.for.can.name
forestry:capsule, item.for.capsule.name
forestry:refractory, item.for.refractory.name
forestry:greenhouse:0, Greenhouse Block
forestry:greenhouse:3, Greenhouse Energy Distributor
forestry:greenhouse:4, Greenhouse Control
forestry:greenhouse:5, Greenhouse Screen
forestry:climatiser:0, Greenhouse Hygroregulator
forestry:climatiser:1, Greenhouse Heater
forestry:climatiser:2, Greenhouse Fan
forestry:climatiser:3, Greenhouse Humidifier
forestry:climatiser:4, Greenhouse Dehumidifier
forestry:greenhouse.window:0, Greenhouse Window
forestry:greenhouse.window_up:0, Greenhouse Roof Window
forestry:grafter, Enxerto
forestry:grafter_proven, Enxerto Comprovado
forestry:logs.0:0, Madeira de Larício
forestry:logs.0:1, Madeira de Teca
forestry:logs.0:2, Madeira de Acacia
forestry:logs.0:3, Madeira de Lima
forestry:logs.1:0, Madeira de Castanha
forestry:logs.1:1, Madeira de Wengué
forestry:logs.1:2, Madeira de Baobá
forestry:logs.1:3, Madeira de Sequóia
forestry:logs.2:0, Madeira de Sumaúma
forestry:logs.2:1, Madeira de Ébano
forestry:logs.2:2, Madeira de Mógno
forestry:logs.2:3, Madeira de Balsa
forestry:logs.3:0, Madeira de Salgueiro
forestry:logs.3:1, Madeira de Nogueira
forestry:logs.3:2, Madeira de Coração-Verde
forestry:logs.3:3, Madeira de Cereja
forestry:logs.4:0, Madeira de Pau-de-Sebo
forestry:logs.4:1, Madeira de Álamo
forestry:logs.4:2, Madeira de Palmeira
forestry:logs.4:3, Madeira de Mamão
forestry:logs.5:0, Madeira de Pinho
forestry:logs.5:1, Madeira de Ameixa
forestry:logs.5:2, Madeira de Bordo
forestry:logs.5:3, Madeira de Citros
forestry:logs.6:0, Madeira de Sequóia Gigante
forestry:logs.6:1, Madeira de Ipê
forestry:logs.6:2, Madeira de Pau-Brasil
forestry:logs.6:3, Madeira de Cocobolo
forestry:logs.7:0, Madeira de Zebrano
forestry:logs.fireproof.0:0, Madeira de Larício (À Prova de Fogo)
forestry:logs.fireproof.0:1, Madeira de Teca (À Prova de Fogo)
forestry:logs.fireproof.0:2, Madeira de Acacia (À Prova de Fogo)
forestry:logs.fireproof.0:3, Madeira de Lima (À Prova de Fogo)
forestry:logs.fireproof.1:0, Madeira de Castanha (À Prova de Fogo)
forestry:logs.fireproof.1:1, Madeira de Wengué (À Prova de Fogo)
forestry:logs.fireproof.1:2, Madeira de Baobá (À Prova de Fogo)
forestry:logs.fireproof.1:3, Madeira de Sequóia (À Prova de Fogo)
forestry:logs.fireproof.2:0, Madeira de Sumaúma (À Prova de Fogo)
forestry:logs.fireproof.2:1, Madeira de Ébano (À Prova de Fogo)
forestry:logs.fireproof.2:2, Madeira de Mógno (À Prova de Fogo)
forestry:logs.fireproof.2:3, Madeira de Balsa (À Prova de Fogo)
forestry:logs.fireproof.3:0, Madeira de Salgueiro (À Prova de Fogo)
forestry:logs.fireproof.3:1, Madeira de Nogueira (À Prova de Fogo)
forestry:logs.fireproof.3:2, Madeira de Coração-Verde (À Prova de Fogo)
forestry:logs.fireproof.3:3, Madeira de Cereja (À Prova de Fogo)
forestry:logs.fireproof.4:0, Madeira de Pau-de-Sebo (À Prova de Fogo)
forestry:logs.fireproof.4:1, Madeira de Álamo (À Prova de Fogo)
forestry:logs.fireproof.4:2, Madeira de Palmeira (À Prova de Fogo)
forestry:logs.fireproof.4:3, Madeira de Mamão (À Prova de Fogo)
forestry:logs.fireproof.5:0, Madeira de Pinho (À Prova de Fogo)
forestry:logs.fireproof.5:1, Madeira de Ameixa (À Prova de Fogo)
forestry:logs.fireproof.5:2, Madeira de Bordo (À Prova de Fogo)
forestry:logs.fireproof.5:3, Madeira de Citros (À Prova de Fogo)
forestry:logs.fireproof.6:0, Madeira de Sequóia Gigante (À Prova de Fogo)
forestry:logs.fireproof.6:1, Madeira de Ipê (À Prova de Fogo)
forestry:logs.fireproof.6:2, Madeira de Pau-Brasil (À Prova de Fogo)
forestry:logs.fireproof.6:3, Madeira de Cocobolo (À Prova de Fogo)
forestry:logs.fireproof.7:0, Madeira de Zebrano (À Prova de Fogo)
forestry:logs.vanilla.fireproof.0:0, Madeira de carvalho (À Prova de Fogo)
forestry:logs.vanilla.fireproof.0:1, Madeira de pinheiro (À Prova de Fogo)
forestry:logs.vanilla.fireproof.0:2, Madeira de eucalipto (À Prova de Fogo)
forestry:logs.vanilla.fireproof.0:3, Madeira da selva (À Prova de Fogo)
forestry:logs.vanilla.fireproof.1:0, Madeira de acácia (À Prova de Fogo)
forestry:logs.vanilla.fireproof.1:1, Madeira de carvalho escuro (À Prova de Fogo)
forestry:planks.0:0, Placas de Madeira de Larício
forestry:planks.0:1, Placas de Madeira de Teca
forestry:planks.0:2, Placas de Madeira de Acacia
forestry:planks.0:3, Placas de Madeira de Lima
forestry:planks.0:4, Placas de Madeira de Castanha
forestry:planks.0:5, Placas de Madeira de Wengué
forestry:planks.0:6, Placas de Madeira de Baobá
forestry:planks.0:7, Placas de Madeira de Sequóia
forestry:planks.0:8, Placas de Madeira de Sumaúma
forestry:planks.0:9, Placas de Madeira de Ébano
forestry:planks.0:10, Placas de Madeira de Mógno
forestry:planks.0:11, Placas de Madeira de Balsa
forestry:planks.0:12, Placas de Madeira de Salgueiro
forestry:planks.0:13, Placas de Madeira de Nogueira
forestry:planks.0:14, Placas de Madeira de Coração-Verde
forestry:planks.0:15, Placas de Madeira de Cereja
forestry:planks.1:0, Placas de Madeira de Pau-de-Sebo
forestry:planks.1:1, Placas de Madeira de Álamo
forestry:planks.1:2, Placas de Madeira de Palmeira
forestry:planks.1:3, Placas de Madeira de Mamão
forestry:planks.1:4, Placas de Madeira de Pinho
forestry:planks.1:5, Placas de Madeira de Ameixa
forestry:planks.1:6, Placas de Madeira de Bordo
forestry:planks.1:7, Placas de Madeira de Citros
forestry:planks.1:8, Placas de Madeira de Sequóia Gigante
forestry:planks.1:9, Placas de Madeira de Ipê
forestry:planks.1:10, Placas de Madeira de Pau-Brasil
forestry:planks.1:11, Placas de Madeira de Cocobolo
forestry:planks.1:12, Placas de Madeira de Zebrano
forestry:planks.fireproof.0:0, Placas de Madeira de Larício (À Prova de Fogo)
forestry:planks.fireproof.0:1, Placas de Madeira de Teca (À Prova de Fogo)
forestry:planks.fireproof.0:2, Placas de Madeira de Acacia (À Prova de Fogo)
forestry:planks.fireproof.0:3, Placas de Madeira de Lima (À Prova de Fogo)
forestry:planks.fireproof.0:4, Placas de Madeira de Castanha (À Prova de Fogo)
forestry:planks.fireproof.0:5, Placas de Madeira de Wengué (À Prova de Fogo)
forestry:planks.fireproof.0:6, Placas de Madeira de Baobá (À Prova de Fogo)
forestry:planks.fireproof.0:7, Placas de Madeira de Sequóia (À Prova de Fogo)
forestry:planks.fireproof.0:8, Placas de Madeira de Sumaúma (À Prova de Fogo)
forestry:planks.fireproof.0:9, Placas de Madeira de Ébano (À Prova de Fogo)
forestry:planks.fireproof.0:10, Placas de Madeira de Mógno (À Prova de Fogo)
forestry:planks.fireproof.0:11, Placas de Madeira de Balsa (À Prova de Fogo)
forestry:planks.fireproof.0:12, Placas de Madeira de Salgueiro (À Prova de Fogo)
forestry:planks.fireproof.0:13, Placas de Madeira de Nogueira (À Prova de Fogo)
forestry:planks.fireproof.0:14, Placas de Madeira de Coração-Verde (À Prova de Fogo)
forestry:planks.fireproof.0:15, Placas de Madeira de Cereja (À Prova de Fogo)
forestry:planks.fireproof.1:0, Placas de Madeira de Pau-de-Sebo (À Prova de Fogo)
forestry:planks.fireproof.1:1, Placas de Madeira de Álamo (À Prova de Fogo)
forestry:planks.fireproof.1:2, Placas de Madeira de Palmeira (À Prova de Fogo)
forestry:planks.fireproof.1:3, Placas de Madeira de Mamão (À Prova de Fogo)
forestry:planks.fireproof.1:4, Placas de Madeira de Pinho (À Prova de Fogo)
forestry:planks.fireproof.1:5, Placas de Madeira de Ameixa (À Prova de Fogo)
forestry:planks.fireproof.1:6, Placas de Madeira de Bordo (À Prova de Fogo)
forestry:planks.fireproof.1:7, Placas de Madeira de Citros (À Prova de Fogo)
forestry:planks.fireproof.1:8, Placas de Madeira de Sequóia Gigante (À Prova de Fogo)
forestry:planks.fireproof.1:9, Placas de Madeira de Ipê (À Prova de Fogo)
forestry:planks.fireproof.1:10, Placas de Madeira de Pau-Brasil (À Prova de Fogo)
forestry:planks.fireproof.1:11, Placas de Madeira de Cocobolo (À Prova de Fogo)
forestry:planks.fireproof.1:12, Placas de Madeira de Zebrano (À Prova de Fogo)
forestry:planks.vanilla.fireproof.0:0, Tábuas de carvalho (À Prova de Fogo)
forestry:planks.vanilla.fireproof.0:1, Tábuas de pinheiro (À Prova de Fogo)
forestry:planks.vanilla.fireproof.0:2, Tábuas de eucalipto (À Prova de Fogo)
forestry:planks.vanilla.fireproof.0:3, Tábuas de madeira da selva (À Prova de Fogo)
forestry:planks.vanilla.fireproof.0:4, Tábuas de acácia (À Prova de Fogo)
forestry:planks.vanilla.fireproof.0:5, Tábuas de carvalho escuro (À Prova de Fogo)
forestry:slabs.0:0, Lajes de Madeira de Larício
forestry:slabs.0:1, Lajes de Madeira de Teca
forestry:slabs.0:2, Lajes de Madeira de Acacia
forestry:slabs.0:3, Lajes de Madeira de Lima
forestry:slabs.0:4, Lajes de Madeira de Castanha
forestry:slabs.0:5, Lajes de Madeira de Wengué
forestry:slabs.0:6, Lajes de Madeira de Baobá
forestry:slabs.0:7, Lajes de Madeira de Sequóia
forestry:slabs.1:0, Lajes de Madeira de Sumaúma
forestry:slabs.1:1, Lajes de Madeira de Ébano
forestry:slabs.1:2, Lajes de Madeira de Mógno
forestry:slabs.1:3, Lajes de Madeira de Balsa
forestry:slabs.1:4, Lajes de Madeira de Salgueiro
forestry:slabs.1:5, Lajes de Madeira de Nogueira
forestry:slabs.1:6, Lajes de Madeira de Coração-Verde
forestry:slabs.1:7, Lajes de Madeira de Cereja
forestry:slabs.2:0, Lajes de Madeira de Pau-de-Sebo
forestry:slabs.2:1, Lajes de Madeira de Álamo
forestry:slabs.2:2, Lajes de Madeira de Palmeira
forestry:slabs.2:3, Lajes de Madeira de Mamão
forestry:slabs.2:4, Lajes de Madeira de Pinho
forestry:slabs.2:5, Lajes de Madeira de Ameixa
forestry:slabs.2:6, Lajes de Madeira de Bordo
forestry:slabs.2:7, Lajes de Madeira de Citros
forestry:slabs.3:0, Lajes de Madeira de Sequóia Gigante
forestry:slabs.3:1, Lajes de Madeira de Ipê
forestry:slabs.3:2, Lajes de Madeira de Pau-Brasil
forestry:slabs.3:3, Lajes de Madeira de Cocobolo
forestry:slabs.3:4, Lajes de Madeira de Zebrano
forestry:slabs.fireproof.0:0, Lajes de Madeira de Larício (À Prova de Fogo)
forestry:slabs.fireproof.0:1, Lajes de Madeira de Teca (À Prova de Fogo)
forestry:slabs.fireproof.0:2, Lajes de Madeira de Acacia (À Prova de Fogo)
forestry:slabs.fireproof.0:3, Lajes de Madeira de Lima (À Prova de Fogo)
forestry:slabs.fireproof.0:4, Lajes de Madeira de Castanha (À Prova de Fogo)
forestry:slabs.fireproof.0:5, Lajes de Madeira de Wengué (À Prova de Fogo)
forestry:slabs.fireproof.0:6, Lajes de Madeira de Baobá (À Prova de Fogo)
forestry:slabs.fireproof.0:7, Lajes de Madeira de Sequóia (À Prova de Fogo)
forestry:slabs.fireproof.1:0, Lajes de Madeira de Sumaúma (À Prova de Fogo)
forestry:slabs.fireproof.1:1, Lajes de Madeira de Ébano (À Prova de Fogo)
forestry:slabs.fireproof.1:2, Lajes de Madeira de Mógno (À Prova de Fogo)
forestry:slabs.fireproof.1:3, Lajes de Madeira de Balsa (À Prova de Fogo)
forestry:slabs.fireproof.1:4, Lajes de Madeira de Salgueiro (À Prova de Fogo)
forestry:slabs.fireproof.1:5, Lajes de Madeira de Nogueira (À Prova de Fogo)
forestry:slabs.fireproof.1:6, Lajes de Madeira de Coração-Verde (À Prova de Fogo)
forestry:slabs.fireproof.1:7, Lajes de Madeira de Cereja (À Prova de Fogo)
forestry:slabs.fireproof.2:0, Lajes de Madeira de Pau-de-Sebo (À Prova de Fogo)
forestry:slabs.fireproof.2:1, Lajes de Madeira de Álamo (À Prova de Fogo)
forestry:slabs.fireproof.2:2, Lajes de Madeira de Palmeira (À Prova de Fogo)
forestry:slabs.fireproof.2:3, Lajes de Madeira de Mamão (À Prova de Fogo)
forestry:slabs.fireproof.2:4, Lajes de Madeira de Pinho (À Prova de Fogo)
forestry:slabs.fireproof.2:5, Lajes de Madeira de Ameixa (À Prova de Fogo)
forestry:slabs.fireproof.2:6, Lajes de Madeira de Bordo (À Prova de Fogo)
forestry:slabs.fireproof.2:7, Lajes de Madeira de Citros (À Prova de Fogo)
forestry:slabs.fireproof.3:0, Lajes de Madeira de Sequóia Gigante (À Prova de Fogo)
forestry:slabs.fireproof.3:1, Lajes de Madeira de Ipê (À Prova de Fogo)
forestry:slabs.fireproof.3:2, Lajes de Madeira de Pau-Brasil (À Prova de Fogo)
forestry:slabs.fireproof.3:3, Lajes de Madeira de Cocobolo (À Prova de Fogo)
forestry:slabs.fireproof.3:4, Lajes de Madeira de Zebrano (À Prova de Fogo)
forestry:slabs.vanilla.fireproof.0:0, Laje de carvalho (À Prova de Fogo)
forestry:slabs.vanilla.fireproof.0:1, Laje de pinheiro (À Prova de Fogo)
forestry:slabs.vanilla.fireproof.0:2, Laje de eucalipto (À Prova de Fogo)
forestry:slabs.vanilla.fireproof.0:3, Laje de madeira da selva (À Prova de Fogo)
forestry:slabs.vanilla.fireproof.0:4, Laje de acácia (À Prova de Fogo)
forestry:slabs.vanilla.fireproof.0:5, Laje de carvalho escuro (À Prova de Fogo)
forestry:fences.0:0, Cerca de Larício
forestry:fences.0:1, Cerca de Teca
forestry:fences.0:2, Cerca de Acacia
forestry:fences.0:3, Cerca de Lima
forestry:fences.0:4, Cerca de Castanha
forestry:fences.0:5, Cerca de Wengué
forestry:fences.0:6, Cerca de Baobá
forestry:fences.0:7, Cerca de Sequóia
forestry:fences.0:8, Cerca de Sumaúma
forestry:fences.0:9, Cerca de Ébano
forestry:fences.0:10, Cerca de Mógno
forestry:fences.0:11, Cerca de Balsa
forestry:fences.0:12, Cerca de Salgueiro
forestry:fences.0:13, Cerca de Nogueira
forestry:fences.0:14, Cerca de Coração-Verde
forestry:fences.0:15, Cerca de Cereja
forestry:fences.1:0, Cerca de Pau-de-Sebo
forestry:fences.1:1, Cerca de Álamo
forestry:fences.1:2, Cerca de Palmeira
forestry:fences.1:3, Cerca de Mamão
forestry:fences.1:4, Cerca de Pinho
forestry:fences.1:5, Cerca de Ameixa
forestry:fences.1:6, Cerca de Bordo
forestry:fences.1:7, Cerca de Citros
forestry:fences.1:8, Cerca de Sequóia Gigante
forestry:fences.1:9, Cerca de Ipê
forestry:fences.1:10, Cerca de Pau-Brasil
forestry:fences.1:11, Cerca de Cocobolo
forestry:fences.1:12, Cerca de Zebrano
forestry:fences.fireproof.0:0, Cerca de Larício (À Prova de Fogo)
forestry:fences.fireproof.0:1, Cerca de Teca (À Prova de Fogo)
forestry:fences.fireproof.0:2, Cerca de Acacia (À Prova de Fogo)
forestry:fences.fireproof.0:3, Cerca de Lima (À Prova de Fogo)
forestry:fences.fireproof.0:4, Cerca de Castanha (À Prova de Fogo)
forestry:fences.fireproof.0:5, Cerca de Wengué (À Prova de Fogo)
forestry:fences.fireproof.0:6, Cerca de Baobá (À Prova de Fogo)
forestry:fences.fireproof.0:7, Cerca de Sequóia (À Prova de Fogo)
forestry:fences.fireproof.0:8, Cerca de Sumaúma (À Prova de Fogo)
forestry:fences.fireproof.0:9, Cerca de Ébano (À Prova de Fogo)
forestry:fences.fireproof.0:10, Cerca de Mógno (À Prova de Fogo)
forestry:fences.fireproof.0:11, Cerca de Balsa (À Prova de Fogo)
forestry:fences.fireproof.0:12, Cerca de Salgueiro (À Prova de Fogo)
forestry:fences.fireproof.0:13, Cerca de Nogueira (À Prova de Fogo)
forestry:fences.fireproof.0:14, Cerca de Coração-Verde (À Prova de Fogo)
forestry:fences.fireproof.0:15, Cerca de Cereja (À Prova de Fogo)
forestry:fences.fireproof.1:0, Cerca de Pau-de-Sebo (À Prova de Fogo)
forestry:fences.fireproof.1:1, Cerca de Álamo (À Prova de Fogo)
forestry:fences.fireproof.1:2, Cerca de Palmeira (À Prova de Fogo)
forestry:fences.fireproof.1:3, Cerca de Mamão (À Prova de Fogo)
forestry:fences.fireproof.1:4, Cerca de Pinho (À Prova de Fogo)
forestry:fences.fireproof.1:5, Cerca de Ameixa (À Prova de Fogo)
forestry:fences.fireproof.1:6, Cerca de Bordo (À Prova de Fogo)
forestry:fences.fireproof.1:7, Cerca de Citros (À Prova de Fogo)
forestry:fences.fireproof.1:8, Cerca de Sequóia Gigante (À Prova de Fogo)
forestry:fences.fireproof.1:9, Cerca de Ipê (À Prova de Fogo)
forestry:fences.fireproof.1:10, Cerca de Pau-Brasil (À Prova de Fogo)
forestry:fences.fireproof.1:11, Cerca de Cocobolo (À Prova de Fogo)
forestry:fences.fireproof.1:12, Cerca de Zebrano (À Prova de Fogo)
